Route_Number,Reason,Boro,Boro Code,Bus_Company_Name,How_Long_Delayed,Number_Of_Students_On_The_Bus,Breakdown_or_Running_Late
MN4,Heavy Traffic,Brooklyn,,"DON THOMAS BUSES, INC.",16.00,16,Running Late
X241,Heavy Traffic,Brooklyn,,VAN TRANS LLC (B2192),16.00,12,Running Late
X382,Heavy Traffic,Brooklyn,,VAN TRANS LLC (B2192),16.00,14,Running Late
X071,Heavy Traffic,Brooklyn,,VAN TRANS LLC (B2192),16.00,14,Running Late
M1184,Heavy Traffic,Manhattan,MA,SNT BUS INC,16.00,12,Running Late
X8516,Heavy Traffic,Brooklyn,,PIONEER TRANSPORTATION CORP,0.00,50,Running Late
X2371,Heavy Traffic,Brooklyn,,PIONEER TRANSPORTATION CORP,0.00,20,Running Late
X373,Heavy Traffic,Brooklyn,,VAN TRANS LLC (B2192),16.00,13,Running Late
X062,Heavy Traffic,Brooklyn,,VAN TRANS LLC (B2192),16.00,13,Running Late
X051,Heavy Traffic,Brooklyn,,VAN TRANS LLC (B2192),16.00,12,Running Late
X251,Heavy Traffic,Brooklyn,,VAN TRANS LLC (B2192),16.00,15,Running Late
Q031,Heavy Traffic,Queens,QS,"RELIANT TRANSPORTATION, INC (B2321)",31.00,11,Running Late
K1429,Mechanical Problem,Brooklyn,,ALLIED TRANSIT CORP.,16.00,23,Running Late
K1410,Heavy Traffic,Brooklyn,,ALLIED TRANSIT CORP.,16.00,15,Running Late
1,Weather Conditions,Brooklyn,,"G.V.C., LTD.",10.00,12,Running Late
K027,Other,Brooklyn,,EMPIRE STATE BUS CORP.,15.00,12,Running Late
HK4,Heavy Traffic,Brooklyn,,ANOTHER RIDE INC.,0.00,12,Running Late
2,Heavy Traffic,Brooklyn,,"G.V.C., LTD.",16.00,12,Running Late
0112X,Heavy Traffic,Brooklyn,,L & M BUS CORP.,20.00,14,Running Late
8,Heavy Traffic,Brooklyn,,"G.V.C., LTD.",46.00,13,Running Late
5,Heavy Traffic,Brooklyn,,"G.V.C., LTD.",46.00,18,Running Late
B0919A,Other,Brooklyn,,L & M BUS CORP.,30.00,13,Running Late
Q135,Heavy Traffic,Queens,QS,"RELIANT TRANS, INC. (B232",20.00,13,Running Late
Q393,Heavy Traffic,Queens,QS,HOYT TRANSPORTATION CORP.,10.00,11,Running Late
K1422,Heavy Traffic,Brooklyn,,ALLIED TRANSIT CORP.,31.00,18,Running Late
X2237,Heavy Traffic,Brooklyn,,PIONEER TRANSPORTATION CORP,0.00,23,Running Late
X2390,Heavy Traffic,Brooklyn,,PIONEER TRANSPORTATION CORP,0.00,33,Running Late
X2069,Heavy Traffic,Brooklyn,,PIONEER TRANSPORTATION CORP,0.00,45,Running Late
Q2930,Heavy Traffic,Queens,QS,ALLIED TRANSIT CORP.,16.00,18,Running Late
X060,Other,Brooklyn,,VAN TRANS LLC (B2192),25.00,12,Running Late
X044,Flat Tire,Brooklyn,,PIONEER TRANSPORTATION CO,20.00,15,Running Late
VC2,Heavy Traffic,Brooklyn,,"DON THOMAS BUSES, INC.",0.00,15,Running Late
X2269,Heavy Traffic,Brooklyn,,PIONEER TRANSPORTATION CORP,0.00,26,Running Late
K400,Problem Run,Brooklyn,,CAREFUL BUS SERVICE INC (B2192),16.00,12,Running Late
L555,Heavy Traffic,Brooklyn,,HOYT TRANSPORTATION CORP.,0.00,11,Running Late
K406,Problem Run,Brooklyn,,CAREFUL BUS SERVICE INC (B2192),16.00,11,Running Late
X8516,Heavy Traffic,Brooklyn,,PIONEER TRANSPORTATION CORP,16.00,15,Running Late
M753,Heavy Traffic,Manhattan,MA,LEESEL TRANSP CORP (B2192,10.00,13,Running Late
X232,Other,Brooklyn,,VAN TRANS LLC (B2192),0.00,14,Running Late
M213,Heavy Traffic,Manhattan,MA,"RELIANT TRANSPORTATION, INC (B2321)",31.00,13,Running Late
8,Heavy Traffic,Brooklyn,,"G.V.C., LTD.",31.00,14,Running Late
R1001,Late return from Field Trip,Staten Island,STI,PIONEER TRANSPORTATION CORP,16.00,20,Running Late
Q9489,Late return from Field Trip,Queens,QS,BOBBY`S BUS CO. INC.,31.00,40,Running Late
Q9714,Late return from Field Trip,Queens,QS,"GRANDPA`S BUS CO., INC.",30.00,50,Running Late
X118,Heavy Traffic,Brooklyn,,VAN TRANS LLC (B2192),20.00,15,Running Late
X2109,Heavy Traffic,Brooklyn,,PIONEER TRANSPORTATION CORP,0.00,11,Running Late
UCP-4,Heavy Traffic,Brooklyn,,PHILLIPS BUS SERVICE,16.00,20,Running Late
X9026,Delayed by School,Brooklyn,,PIONEER TRANSPORTATION CORP,0.00,15,Running Late
1,Heavy Traffic,Brooklyn,,1992,31.00,11,Running Late
X2106,Flat Tire,Brooklyn,,PIONEER TRANSPORTATION CO,15.00,12,Running Late
6,Weather Conditions,Brooklyn,,"G.V.C., LTD.",15.00,11,Running Late
UCP9,Other,Brooklyn,,PHILLIPS BUS SERVICE,16.00,14,Running Late
5,Heavy Traffic,Brooklyn,,"G.V.C., LTD.",20.00,13,Running Late
1,Heavy Traffic,Brooklyn,,"G.V.C., LTD.",45.00,16,Running Late
Q9002,Late return from Field Trip,Queens,QS,PIONEER TRANSPORTATION CO,60.00,35,Running Late
Q9007,Late return from Field Trip,Queens,QS,PIONEER TRANSPORTATION CO,20.00,30,Running Late
K400,Problem Run,Brooklyn,,CAREFUL BUS SERVICE INC (B2192),16.00,12,Running Late
5,Other,Brooklyn,,"G.V.C., LTD.",15.00,16,Running Late
X2395,Heavy Traffic,Brooklyn,,PIONEER TRANSPORTATION CORP,0.00,17,Running Late
K417,Heavy Traffic,Brooklyn,,CAREFUL BUS,16.00,11,Running Late
X2277,Delayed by School,Brooklyn,,PIONEER TRANSPORTATION CORP,0.00,29,Running Late
3,Heavy Traffic,Brooklyn,,"G.V.C., LTD.",20.00,12,Running Late
MN4,Heavy Traffic,Brooklyn,,"DON THOMAS BUSES, INC.",16.00,15,Running Late
8,Heavy Traffic,Brooklyn,,"G.V.C., LTD.",31.00,20,Running Late
M389,Heavy Traffic,Manhattan,MA,HOYT TRANSPORTATION CORP.,16.00,11,Running Late
X2371,Heavy Traffic,Brooklyn,,PIONEER TRANSPORTATION CORP,16.00,23,Running Late
8,Heavy Traffic,Brooklyn,,"G.V.C., LTD.",31.00,20,Running Late
M178,Heavy Traffic,Manhattan,MA,"RELIANT TRANSPORTATION, INC (B2321)",31.00,15,Running Late
5,Heavy Traffic,Brooklyn,,"G.V.C., LTD.",31.00,12,Running Late
3,Heavy Traffic,Brooklyn,,"G.V.C., LTD.",16.00,14,Running Late
1,Heavy Traffic,Brooklyn,,"G.V.C., LTD.",31.00,15,Running Late
8,Heavy Traffic,Brooklyn,,"G.V.C., LTD.",31.00,15,Running Late
K408,Heavy Traffic,Brooklyn,,CAREFUL BUS SERVICE INC (B2192),16.00,17,Running Late
X374,Heavy Traffic,Brooklyn,,VAN TRANS LLC (B2192),16.00,13,Running Late
Q144,Heavy Traffic,Queens,QS,"RELIANT TRANSPORTATION, INC (B2321)",31.00,12,Running Late
NM1,Heavy Traffic,Brooklyn,,"DON THOMAS BUSES, INC.",0.00,13,Running Late
K253,Delayed by School,Brooklyn,,ALLIED TRANSIT CORP.,15.00,14,Running Late
Q9471,Late return from Field Trip,Queens,QS,BOBBY`S BUS CO. INC.,1.00,50,Running Late
X236,Heavy Traffic,Brooklyn,,VAN TRANS LLC (B2192),46.00,14,Running Late
6,Heavy Traffic,Brooklyn,,"G.V.C., LTD.",25.00,12,Running Late
3507Z,Other,Brooklyn,,MJT BUS,20.00,15,Running Late
5,Weather Conditions,Brooklyn,,"G.V.C., LTD.",25.00,16,Running Late
X2276,Heavy Traffic,Brooklyn,,PIONEER TRANSPORTATION CORP,0.00,26,Running Late
X2097,Heavy Traffic,Brooklyn,,PIONEER TRANSPORTATION CORP,0.00,34,Running Late
X147,Heavy Traffic,Brooklyn,,VAN TRANS LLC (B2192),0.00,14,Running Late
X382,Heavy Traffic,Brooklyn,,VAN TRANS LLC (B2192),0.00,16,Running Late
X383,Heavy Traffic,Brooklyn,,VAN TRANS LLC (B2192),0.00,17,Running Late
VC2,Heavy Traffic,Brooklyn,,"DON THOMAS BUSES, INC.",0.00,16,Running Late
X282,Heavy Traffic,Brooklyn,,VAN TRANS LLC (B2192),0.00,18,Running Late
Q2905,Heavy Traffic,Queens,QS,EMPIRE STATE BUS CORP.,16.00,15,Running Late
X2371,Heavy Traffic,Brooklyn,,PIONEER TRANSPORTATION CORP,0.00,29,Running Late
4,Heavy Traffic,Brooklyn,,"G.V.C., LTD.",46.00,15,Running Late
20,Heavy Traffic,Brooklyn,,"G.V.C., LTD.",16.00,20,Running Late
MN1,Heavy Traffic,Brooklyn,,"DON THOMAS BUSES, INC.",0.00,11,Running Late
BX11,Heavy Traffic,Brooklyn,,PHILLIPS BUS SERVICE,31.00,14,Running Late
K041,Heavy Traffic,Brooklyn,,"NEW DAWN TRANSIT, LLC (B2",15.00,11,Running Late
1,Heavy Traffic,Brooklyn,,"G.V.C., LTD.",31.00,12,Running Late
8,Heavy Traffic,Brooklyn,,"G.V.C., LTD.",31.00,14,Running Late
Q9989,Late return from Field Trip,Queens,QS,ALLIED TRANSIT CORP.,20.00,40,Running Late
K253,Late return from Field Trip,Brooklyn,,ALLIED TRANSIT CORP.,20.00,16,Running Late
X9063,Late return from Field Trip,Brooklyn,,"GRANDPA`S BUS CO., INC.",46.00,24,Running Late
1,Heavy Traffic,Brooklyn,,"G.V.C., LTD.",16.00,11,Running Late
5,Heavy Traffic,Brooklyn,,"G.V.C., LTD.",16.00,11,Running Late
Q9723,Late return from Field Trip,Queens,QS,"GRANDPA`S BUS CO., INC.",60.00,50,Running Late
K253,Delayed by School,Brooklyn,,ALLIED TRANSIT CORP.,20.00,14,Running Late
K1408,Late return from Field Trip,Brooklyn,,ALLIED TRANSIT CORP.,20.00,25,Running Late
Q095,Other,Queens,QS,"RELIANT TRANS, INC. (B232",25.00,16,Running Late
1,Heavy Traffic,Brooklyn,,"G.V.C., LTD.",5.00,11,Running Late
K1738,Weather Conditions,Brooklyn,,JOFAZ TRANSPORTATION INC.,30.00,20,Running Late
X214,Other,Brooklyn,,VAN TRANS LLC (B2192),0.00,11,Running Late
X2097,Heavy Traffic,Brooklyn,,PIONEER TRANSPORTATION CORP,0.00,34,Running Late
K400,Problem Run,Brooklyn,,CAREFUL BUS SERVICE INC (B2192),16.00,12,Running Late
BX12,Other,Brooklyn,,PHILLIPS BUS SERVICE,16.00,12,Running Late
X384,Heavy Traffic,Brooklyn,,VAN TRANS LLC (B2192),0.00,19,Running Late
BX13,Other,Brooklyn,,PHILLIPS BUS SERVICE,16.00,15,Running Late
Q3017,Heavy Traffic,Queens,QS,PIONEER TRANSPORTATION CO,25.00,40,Running Late
Q214,Heavy Traffic,Queens,QS,HOYT TRANSPORTATION CORP.,0.00,16,Running Late
BX17,Other,Brooklyn,,PHILLIPS BUS SERVICE,16.00,15,Running Late
Q097,Heavy Traffic,Queens,QS,"RELIANT TRANSPORTATION, INC (B2321)",31.00,16,Running Late
5,Heavy Traffic,Brooklyn,,"G.V.C., LTD.",16.00,12,Running Late
8,Heavy Traffic,Brooklyn,,"G.V.C., LTD.",31.00,11,Running Late
1,Heavy Traffic,Brooklyn,,"G.V.C., LTD.",5.00,12,Running Late
K408,Heavy Traffic,Brooklyn,,CAREFUL BUS SERVICE INC (B2192),16.00,14,Running Late
X130,Other,Brooklyn,,"BORO TRANSIT, INC.",20.00,11,Running Late
K1708,Late return from Field Trip,Brooklyn,,JOFAZ TRANSPORTATION INC.,20.00,40,Running Late
Q9859,Late return from Field Trip,Queens,QS,JOFAZ TRANSPORTATION INC.,30.00,40,Running Late
1,Heavy Traffic,Brooklyn,,"G.V.C., LTD.",5.00,11,Running Late
K1403,Heavy Traffic,Brooklyn,,ALLIED TRANSIT CORP.,20.00,15,Running Late
K780,Heavy Traffic,Brooklyn,,"RELIANT TRANS, INC. (B232",15.00,11,Running Late
3304Z,Other,Brooklyn,,L & M BUS CORP.,30.00,11,Running Late
K1428,Other,Brooklyn,,ALLIED TRANSIT CORP.,15.00,17,Running Late
5,Heavy Traffic,Brooklyn,,"G.V.C., LTD.",16.00,14,Running Late
X382,Other,Brooklyn,,VAN TRANS LLC (B2192),0.00,15,Running Late
HK6,Heavy Traffic,Brooklyn,,ANOTHER RIDE INC.,0.00,11,Running Late
K400,Heavy Traffic,Brooklyn,,CAREFUL BUS SERVICE INC (B2192),16.00,11,Running Late
MN4,Heavy Traffic,Brooklyn,,"DON THOMAS BUSES, INC.",16.00,17,Running Late
MN4,Heavy Traffic,Brooklyn,,"DON THOMAS BUSES, INC.",16.00,17,Running Late
MN4,Heavy Traffic,Brooklyn,,"DON THOMAS BUSES, INC.",16.00,17,Running Late
X097,Heavy Traffic,Brooklyn,,VAN TRANS LLC (B2192),0.00,16,Running Late
Q090,Heavy Traffic,Queens,QS,"RELIANT TRANSPORTATION, INC (B2321)",31.00,14,Running Late
M1107,Heavy Traffic,Manhattan,MA,SNT BUS INC,0.00,41,Running Late
X282,Heavy Traffic,Brooklyn,,VAN TRANS LLC (B2192),0.00,17,Running Late
L359,Heavy Traffic,Brooklyn,,"RELIANT TRANSPORTATION, INC (B2321)",31.00,11,Running Late
X2395,Heavy Traffic,Brooklyn,,PIONEER TRANSPORTATION CORP,0.00,20,Running Late
2,Heavy Traffic,Brooklyn,,"G.V.C., LTD.",0.00,20,Running Late
1,Heavy Traffic,Brooklyn,,"G.V.C., LTD.",16.00,11,Running Late
X130,Heavy Traffic,Brooklyn,,"RELIANT TRANSPORTATION, INC (B2321)",31.00,12,Running Late
8,Heavy Traffic,Brooklyn,,"G.V.C., LTD.",16.00,12,Running Late
K1764,Accident,Brooklyn,,JOFAZ TRANSPORTATION INC.,0.00,32,Running Late
8,Other,Brooklyn,,"G.V.C., LTD.",16.00,14,Running Late
1201A,Other,Brooklyn,,L & M BUS CORP.,46.00,13,Running Late
1,Heavy Traffic,Brooklyn,,"G.V.C., LTD.",10.00,11,Running Late
Q143,Heavy Traffic,Queens,QS,"RELIANT TRANSPORTATION, INC (B2321)",31.00,11,Running Late
X080,Heavy Traffic,Brooklyn,,PIONEER TRANSPORTATION CORP,16.00,11,Running Late
4,Other,Brooklyn,,"G.V.C., LTD.",16.00,17,Running Late
Q031,Heavy Traffic,Queens,QS,"RELIANT TRANSPORTATION, INC (B2321)",31.00,13,Running Late
K400,Heavy Traffic,Brooklyn,,CAREFUL BUS SERVICE INC (B2192),16.00,12,Running Late
W735,Heavy Traffic,Westchester,WES,MAR-CAN TRANSPORT CO. INC,1.00,20,Running Late
X125,Other,Brooklyn,,PIONEER TRANSPORTATION CO,10.00,14,Running Late
1,Other,Brooklyn,,"G.V.C., LTD.",16.00,11,Running Late
B1108A,Heavy Traffic,Brooklyn,,L & M BUS CORP.,31.00,22,Running Late
8,Heavy Traffic,Brooklyn,,"G.V.C., LTD.",31.00,16,Running Late
K253,Delayed by School,Brooklyn,,ALLIED TRANSIT CORP.,30.00,14,Running Late
M033,Heavy Traffic,Manhattan,MA,"BORO TRANSIT, INC.",20.00,15,Running Late
Q9817,Late return from Field Trip,Queens,QS,JOFAZ TRANSPORTATION INC.,16.00,21,Running Late
M9460,Late return from Field Trip,Manhattan,MA,SNT BUS INC,16.00,25,Running Late
L619,Accident,Queens,QS,HOYT TRANSPORTATION CORP.,16.00,11,Running Late
X399,Heavy Traffic,Brooklyn,,VAN TRANS LLC (B2192),15.00,11,Running Late
5,Heavy Traffic,Brooklyn,,"G.V.C., LTD.",16.00,13,Running Late
X394,Heavy Traffic,Brooklyn,,VAN TRANS LLC (B2192),46.00,11,Running Late
K403,Heavy Traffic,Brooklyn,,CAREFUL BUS SERVICE INC (B2192),16.00,11,Running Late
M1047,Other,Manhattan,MA,SNT BUS INC,0.00,25,Running Late
X2233,Heavy Traffic,Brooklyn,,PIONEER TRANSPORTATION CORP,0.00,15,Running Late
X2273,Heavy Traffic,Brooklyn,,PIONEER TRANSPORTATION CORP,16.00,20,Running Late
M972,Heavy Traffic,Manhattan,MA,"RELIANT TRANSPORTATION, INC (B2321)",31.00,11,Running Late
K400,Problem Run,Brooklyn,,CAREFUL BUS SERVICE INC (B2192),16.00,12,Running Late
BX13,Heavy Traffic,Brooklyn,,PHILLIPS BUS SERVICE,16.00,18,Running Late
X2097,Heavy Traffic,Brooklyn,,PIONEER TRANSPORTATION CO,10.00,30,Running Late
BX17,Heavy Traffic,Brooklyn,,PHILLIPS BUS SERVICE,16.00,18,Running Late
L359,Heavy Traffic,Brooklyn,,"RELIANT TRANSPORTATION, INC (B2321)",31.00,11,Running Late
1,Heavy Traffic,Brooklyn,,"G.V.C., LTD.",16.00,11,Running Late
K880,Heavy Traffic,Brooklyn,,CAREFUL BUS,16.00,11,Running Late
K2073,Heavy Traffic,Brooklyn,,"BORO TRANSIT, INC.",0.00,24,Running Late
K877,Heavy Traffic,Brooklyn,,CAREFUL BUS,16.00,11,Running Late
K882,Heavy Traffic,Brooklyn,,CAREFUL BUS,16.00,11,Running Late
1,Heavy Traffic,Brooklyn,,"G.V.C., LTD.",31.00,11,Running Late
8,Heavy Traffic,Brooklyn,,"G.V.C., LTD.",46.00,13,Running Late
K175,Late return from Field Trip,Brooklyn,,EMPIRE STATE BUS CORP.,30.00,30,Running Late
B0234A,Heavy Traffic,Brooklyn,,L & M BUS CORP.,25.00,14,Running Late
HB3,Heavy Traffic,Brooklyn,,"DON THOMAS BUSES, INC.",0.00,20,Running Late
1,Heavy Traffic,Brooklyn,,"G.V.C., LTD.",20.00,16,Running Late
6,Heavy Traffic,Brooklyn,,"G.V.C., LTD.",15.00,11,Running Late
X9294,Mechanical Problem,Brooklyn,,PIONEER TRANSPORTATION CORP,31.00,24,Running Late
X092,Late return from Field Trip,Brooklyn,,VAN TRANS LLC (B2192),46.00,20,Running Late
HK2,Heavy Traffic,Brooklyn,,ANOTHER RIDE INC.,0.00,11,Running Late
X2155,Heavy Traffic,Brooklyn,,PIONEER TRANSPORTATION CORP,0.00,30,Running Late
X9147,Other,Brooklyn,,"GRANDPA`S BUS CO., INC.",16.00,12,Running Late
X382,Heavy Traffic,Brooklyn,,VAN TRANS LLC (B2192),16.00,14,Running Late
Q090,Heavy Traffic,Queens,QS,"RELIANT TRANSPORTATION, INC (B2321)",31.00,13,Running Late
X247,Heavy Traffic,Brooklyn,,VAN TRANS LLC (B2192),0.00,12,Running Late
MN4,Heavy Traffic,Brooklyn,,"DON THOMAS BUSES, INC.",16.00,20,Running Late
K400,Heavy Traffic,Brooklyn,,CAREFUL BUS SERVICE INC (B2192),16.00,12,Running Late
3610A,Other,Brooklyn,,L & M BUS CORP.,46.00,13,Running Late
Q111,Heavy Traffic,Queens,QS,"RELIANT TRANSPORTATION, INC (B2321)",31.00,14,Running Late
8,Heavy Traffic,Brooklyn,,"G.V.C., LTD.",31.00,13,Running Late
K689,Problem Run,Brooklyn,,Y & M TRANSIT CORP (B2192),61.00,12,Running Late
3,Other,Brooklyn,,"G.V.C., LTD.",15.00,11,Running Late
Q188,Late return from Field Trip,Queens,QS,ALLIED TRANSIT CORP.,30.00,30,Running Late
Q9959,Other,Queens,QS,ALLIED TRANSIT CORP.,31.00,15,Running Late
K010,Other,Brooklyn,,EMPIRE STATE BUS CORP.,45.00,11,Running Late
K400,Problem Run,Brooklyn,,CAREFUL BUS SERVICE INC (B2192),16.00,12,Running Late
VC2,Heavy Traffic,Brooklyn,,"DON THOMAS BUSES, INC.",0.00,14,Running Late
X147,Heavy Traffic,Brooklyn,,VAN TRANS LLC (B2192),0.00,12,Running Late
X2281,Other,Brooklyn,,PIONEER TRANSPORTATION CORP,16.00,34,Running Late
X382,Heavy Traffic,Brooklyn,,VAN TRANS LLC (B2192),0.00,17,Running Late
X237,Heavy Traffic,Brooklyn,,VAN TRANS LLC (B2192),0.00,18,Running Late
Q090,Heavy Traffic,Queens,QS,"RELIANT TRANSPORTATION, INC (B2321)",31.00,16,Running Late
X2057,Heavy Traffic,Brooklyn,,PIONEER TRANSPORTATION CORP,16.00,15,Running Late
8,Heavy Traffic,Brooklyn,,"G.V.C., LTD.",16.00,14,Running Late
1,Heavy Traffic,Brooklyn,,"G.V.C., LTD.",15.00,12,Running Late
Q051,Late return from Field Trip,Queens,QS,"RELIANT TRANSPORTATION, INC (B2321)",31.00,25,Running Late
6,Heavy Traffic,Brooklyn,,"G.V.C., LTD.",20.00,15,Running Late
2,Other,Brooklyn,,"G.V.C., LTD.",15.00,11,Running Late
X230,Other,Brooklyn,,VAN TRANS LLC (B2192),61.00,14,Running Late
1,Heavy Traffic,Brooklyn,,"G.V.C., LTD.",16.00,11,Running Late
5,Heavy Traffic,Brooklyn,,"G.V.C., LTD.",16.00,14,Running Late
BX17,Heavy Traffic,Brooklyn,,PHILLIPS BUS SERVICE,16.00,11,Running Late
X147,Other,Brooklyn,,VAN TRANS LLC (B2192),0.00,11,Running Late
14PM,Other,Brooklyn,,PENNY TRANSPORTATION,45.00,20,Running Late
MN4,Heavy Traffic,Brooklyn,,"DON THOMAS BUSES, INC.",16.00,14,Running Late
X2097,Heavy Traffic,Brooklyn,,PIONEER TRANSPORTATION CORP,0.00,33,Running Late
K2082,Other,Brooklyn,,"BORO TRANSIT, INC.",16.00,30,Running Late
Q090,Heavy Traffic,Queens,QS,"RELIANT TRANSPORTATION, INC (B2321)",31.00,14,Running Late
K460,Heavy Traffic,Brooklyn,,"RELIANT TRANSPORTATION, INC (B2321)",31.00,11,Running Late
M1325,Heavy Traffic,Manhattan,MA,SNT BUS INC,61.00,20,Running Late
2A,Heavy Traffic,Brooklyn,,"G.V.C., LTD.",16.00,18,Running Late
5,Heavy Traffic,Brooklyn,,"G.V.C., LTD.",0.00,11,Running Late
8,Heavy Traffic,Brooklyn,,"G.V.C., LTD.",31.00,15,Running Late
R1106,Heavy Traffic,Staten Island,STI,PIONEER TRANSPORTATION CORP,16.00,20,Running Late
M9447,Accident,Manhattan,MA,SNT BUS INC,31.00,11,Running Late
K027,Heavy Traffic,Brooklyn,,EMPIRE STATE BUS CORP.,45.00,12,Running Late
K9809,Late return from Field Trip,Brooklyn,,JOFAZ TRANSPORTATION INC.,0.00,29,Running Late
Q9809,Late return from Field Trip,Queens,QS,JOFAZ TRANSPORTATION INC.,0.00,29,Running Late
B0263Z,Other,Brooklyn,,L & M BUS CORP.,46.00,15,Running Late
3412Z,Other,Brooklyn,,"MJT BUS COMPANY, INC",46.00,16,Running Late
B1102Z,Other,Brooklyn,,L & M BUS CORP.,46.00,16,Running Late
K060,Problem Run,Brooklyn,,EMPIRE STATE BUS CORP.,20.00,16,Running Late
BX-01,Other,Brooklyn,,PHILLIPS BUS SERVICE,30.00,15,Running Late
B0203A,Other,Brooklyn,,L & M BUS CORP.,20.00,19,Running Late
X022,Problem Run,Brooklyn,,PIONEER TRANSPORTATION CO,15.00,12,Running Late
4,Heavy Traffic,Brooklyn,,"G.V.C., LTD.",20.00,18,Running Late
Q2964,Heavy Traffic,Queens,QS,ALLIED TRANSIT CORP.,16.00,15,Running Late
MN4,Heavy Traffic,Brooklyn,,"DON THOMAS BUSES, INC.",16.00,12,Running Late
X2201,Other,Brooklyn,,BOBBY`S BUS CO. INC.,16.00,20,Running Late
M571,Heavy Traffic,Manhattan,MA,PRIDE TRANSPORTATION (SCH AGE),16.00,11,Running Late
Q090,Heavy Traffic,Queens,QS,"RELIANT TRANSPORTATION, INC (B2321)",31.00,15,Running Late
X237,Heavy Traffic,Brooklyn,,VAN TRANS LLC (B2192),16.00,18,Running Late
K400,Problem Run,Brooklyn,,CAREFUL BUS SERVICE INC (B2192),16.00,12,Running Late
L359,Heavy Traffic,Brooklyn,,"RELIANT TRANSPORTATION, INC (B2321)",31.00,12,Running Late
8,Heavy Traffic,Brooklyn,,"G.V.C., LTD.",16.00,15,Running Late
Q9494,Late return from Field Trip,Queens,QS,BOBBY`S BUS CO. INC.,60.00,40,Running Late
Q2901,Delayed by School,Queens,QS,ALLIED TRANSIT CORP.,20.00,42,Running Late
3002A,Heavy Traffic,Brooklyn,,L & M BUS CORP.,20.00,11,Running Late
B203A,Other,Brooklyn,,L & M BUS CORP.,30.00,11,Running Late
X169,Accident,Brooklyn,,PIONEER TRANSPORTATION CORP,16.00,11,Running Late
X2110,Heavy Traffic,Brooklyn,,PIONEER TRANSPORTATION CO,15.00,12,Running Late
X2396,Heavy Traffic,Brooklyn,,PIONEER TRANSPORTATION CORP,16.00,13,Running Late
X2395,Heavy Traffic,Brooklyn,,PIONEER TRANSPORTATION CORP,16.00,11,Running Late
K045,Problem Run,Brooklyn,,"NEW DAWN TRANSIT, LLC (B2321)",31.00,19,Running Late
K1427,Other,Brooklyn,,ALLIED TRANSIT CORP.,16.00,19,Running Late
1,Heavy Traffic,Brooklyn,,"G.V.C., LTD.",16.00,11,Running Late
Q252,Heavy Traffic,Queens,QS,"BORO TRANSIT, INC.",16.00,15,Running Late
K400,Problem Run,Brooklyn,,CAREFUL BUS SERVICE INC (B2192),16.00,12,Running Late
X2025,Heavy Traffic,Brooklyn,,PIONEER TRANSPORTATION CO,10.00,17,Running Late
8,Heavy Traffic,Brooklyn,,"G.V.C., LTD.",31.00,14,Running Late
X9117,Heavy Traffic,Brooklyn,,PIONEER TRANSPORTATION CORP,16.00,26,Running Late
X9393,Late return from Field Trip,Brooklyn,,PIONEER TRANSPORTATION CORP,16.00,27,Running Late
K020,Delayed by School,Brooklyn,,EMPIRE STATE BUS CORP.,15.00,15,Running Late
X9090,Late return from Field Trip,Brooklyn,,PIONEER TRANSPORTATION CORP,16.00,22,Running Late
Q108,Late return from Field Trip,Queens,QS,"RELIANT TRANSPORTATION, INC (B2321)",31.00,25,Running Late
1,Weather Conditions,Brooklyn,,"G.V.C., LTD.",15.00,13,Running Late
2,Heavy Traffic,Brooklyn,,"G.V.C., LTD.",10.00,12,Running Late
K027,Problem Run,Brooklyn,,EMPIRE STATE BUS CORP.,20.00,12,Running Late
4,Heavy Traffic,Brooklyn,,"G.V.C., LTD.",45.00,16,Running Late
2,Heavy Traffic,Brooklyn,,"G.V.C., LTD.",15.00,15,Running Late
X2057,Won`t Start,Brooklyn,,PIONEER TRANSPORTATION CORP,31.00,18,Running Late
X9057,Won`t Start,Brooklyn,,PIONEER TRANSPORTATION CORP,16.00,18,Running Late
K064,Flat Tire,Brooklyn,,ALLIED TRANSIT CORP.,31.00,11,Running Late
X8625,Late return from Field Trip,Brooklyn,,"GRANDPA`S BUS CO., INC.",40.00,32,Running Late
3404A,Other,Brooklyn,,L & M BUS CORP.,31.00,15,Running Late
1202A,Other,Brooklyn,,L & M BUS CORP.,31.00,17,Running Late
B0235A,Flat Tire,Brooklyn,,L & M BUS CORP.,46.00,13,Running Late
K400,Problem Run,Brooklyn,,CAREFUL BUS SERVICE INC (B2192),16.00,12,Running Late
3,Heavy Traffic,Brooklyn,,"G.V.C., LTD.",20.00,11,Running Late
B0236A,Heavy Traffic,Brooklyn,,L & M BUS CORP.,0.00,15,Running Late
X8516,Heavy Traffic,Brooklyn,,PIONEER TRANSPORTATION CORP,0.00,16,Running Late
VC2,Heavy Traffic,Brooklyn,,"DON THOMAS BUSES, INC.",0.00,16,Running Late
Q619,Other,Queens,QS,SAFE COACH INC. (B2321),16.00,13,Running Late
X393,Heavy Traffic,Brooklyn,,PIONEER TRANSPORTATION CORP,0.00,12,Running Late
1,Heavy Traffic,Brooklyn,,"G.V.C., LTD.",16.00,11,Running Late
B0964A,Heavy Traffic,Brooklyn,,L & M BUS CORP.,46.00,12,Running Late
5,Heavy Traffic,Brooklyn,,"G.V.C., LTD.",16.00,17,Running Late
